user commits,215416
user rollbacks,13887
session logical reads,49979480
CPU used by this session,38086
DB time,1190768
db block changes,34192741
physical writes,3673010
redo entries,16347958
redo size,22346276072
execute count,1477921
wait_buffer_busy_waits,386124282
wait_log_file_parallel_write,496572416
wait_log_file_sync,2778916946
wait_db_file_sequential_read,8790289
