run_id,mode,profile,rep,fault,ground_truth_transitions,delivered_distinct,delivered_total,missing,phantom,malformed,loss_rate_ppm,loss_rate_upper_bound_95_ppm,duplicate_rate,ordering_violation_rate,latency_ms_p50,latency_ms_p95,latency_ms_p99,latency_ms_max,http_reqs,http_req_failed_rate,http_p95_ms,http_p99_ms,lifecycles,achieved_tps,redo_size_delta,redo_entries_delta,user_commits_delta,db_block_changes_delta,cpu_used_delta,log_file_sync_delta_us,redo_bytes_per_transition
CDC-P1-r2-F1-20260904153833,CDC,P1,2,F1,8976,8976,8976,0,0,0,0.0,334.22,0.0,0.0,3880,7447,8643,8942,14984,0.400961025093433,5.1604673999999955,10.519291080000002,2992,15.37039356781208,35116708,105500,9115,200325,919,6354799,3912.3
HYBRID-P1-r2-F1-20260904154338,HYBRID,P1,2,F1,8981,8981,8981,0,0,0,0.0,334.04,0.0,0.0,3186,6570,7609,7938,14988,0.40078729650386974,6.7103021499999995,22.056713049999647,2993,15.14743039560202,68472004,184085,9150,301600,1411,6114499,7624.1
WRAPPER_B1-P1-r2-F2-20260904154845,WRAPPER_B1,P1,2,F2,27000,27000,27000,0,0,0,0.0,111.11,0.0,0.0,0,1,1,779,27000,0,5.428504499999998,15.51656015999911,9000,45.906943038313464,103065144,316683,27000,601950,1726,19699003,3817.2
WRAPPER_B2-P1-r2-F2-20260904155326,WRAPPER_B2,P1,2,F2,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,1,2,4,2934,27003,0,5.997612699999998,16.77350489999992,9001,45.48306073265029,103389712,316793,27007,602422,1788,18589784,3828.8
WRAPPER_B3-P1-r2-F2-20260904155809,WRAPPER_B3,P1,2,F2,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,25026,105473,112177,113977,27003,0,7.799177599999989,16.46135655999997,9001,45.55004322282214,237708136,682296,27377,1128606,3312,18295453,8803.0
AQ-P1-r2-F2-20260904160251,AQ,P1,2,F2,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,14371,100645,107376,109196,27003,0,5.747593199999999,10.268751539999982,9001,45.55072053560206,275768808,684409,30993,1243292,3969,20228047,10212.5
CDC-P1-r2-F2-20260904160754,CDC,P1,2,F2,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,3273,6924,8549,9291,27003,0,4.654512199999993,7.429877839999999,9001,45.55064800085379,107186084,320454,27150,610170,1882,17250946,3969.4
HYBRID-P1-r2-F2-20260904161302,HYBRID,P1,2,F2,27000,27000,27000,0,0,0,0.0,111.11,0.0,0.0,3171,6625,8065,9008,27000,0,7.836026449999999,17.283767889999915,9000,46.23348038525717,194280332,542706,27143,860084,2863,18949363,7195.6
AQ-P1-r2-F8-20260904161813,AQ,P1,2,F8,8995,8995,8995,0,0,0,0.0,333.52,0.0,0.0,6,14,1190,2942,14998,0.40025336711561543,6.6065546,15.537467550000116,2998,15.399864854343726,109993568,293967,12219,543367,2145,9136700,12228.3
WRAPPER_B3-P1-r2-F11-20260904162321,WRAPPER_B3,P1,2,F11,86997,27000,27000,59997,0,0,689644.47,,0.0,0.0,144,253,1142,3284,27000,0,6.5716072,51.65821428999982,9000,45.54732070329172,402118792,1230637,27773,2221615,5302,18873859,4622.2
AQ-P1-r2-F11-20260904162825,AQ,P1,2,F11,86976,86976,86976,0,0,0,0.0,34.49,0.0,0.0,7940,12184,12933,13156,27000,0,7.880784649999998,96.2342808599994,9000,45.546736444138425,831628412,2122864,34660,3839113,11062,27502707,9561.6
CDC-P1-r2-F11-20260904163332,CDC,P1,2,F11,86997,86997,86997,0,0,0,0.0,34.48,0.0,0.0,6956,9463,9972,10131,27003,0,4.5588427,9.265441879999974,9001,46.236686097932555,295577156,899555,27149,1763492,3305,18050510,3397.6
HYBRID-P1-r2-F11-20260904163844,HYBRID,P1,2,F11,86997,27000,27000,59997,0,0,689644.47,,0.0,0.0,3390,6932,8142,8943,27000,0,7.049231699999999,49.516409039997825,9000,46.233431935946236,377930760,1129092,27144,2026271,4638,20243903,4344.2
CDC-P1-r2-F4-20260904164331,CDC,P1,2,F4,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,6071,82352,89446,90949,27003,0,5.3783008999999975,18.266686199999985,9001,46.236172867636235,105799172,317931,27104,605001,1991,23042577,3918.1
HYBRID-P1-r2-F4-20260904164816,HYBRID,P1,2,F4,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,5387,75157,82097,83745,27003,0,7.318432599999997,14.412629159999998,9001,45.54919774878384,194727304,545645,27116,873431,2678,19332149,7211.3
CDC-P1-r2-F5-20260904165326,CDC,P1,2,F5,77991,77991,77991,0,0,0,0.0,38.47,0.0,0.0,3593,6477,8430,9346,63003,0,4.5556437999999995,6.448940819999961,21001,45.84052700910068,307008720,912297,63362,1748791,5484,41431100,3936.5
HYBRID-P1-r2-F5-20260904170238,HYBRID,P1,2,F5,77988,63000,63000,14988,0,0,192183.41,,0.0,0.0,3300,6547,8047,8732,63000,0,5.62444955,8.977476160000055,21000,45.8384112325944,500477172,1420155,63310,2318093,6457,41410683,6417.4
WRAPPER_B1-P1-r3-F1-20260904171143,WRAPPER_B1,P1,3,F1,8956,8955,8955,1,0,0,111.66,,0.0,0.0,0,1,1,818,14972,0.401816724552498,5.740210599999998,61.450766259999654,2985,15.334099822092227,34131844,104951,8958,199249,757,6579848,3811.1
WRAPPER_B2-P1-r3-F1-20260904171648,WRAPPER_B2,P1,3,F1,8982,8982,8982,0,0,0,0.0,334.0,0.0,0.0,1,3,8,2934,14988,0.40072057646116893,5.639156,109.29058797999541,2994,15.152414866826984,43063144,120059,9017,238507,1039,6816340,4794.4
WRAPPER_B3-P1-r3-F1-20260904172148,WRAPPER_B3,P1,3,F1,8976,8962,8962,14,0,0,1559.71,,0.0,0.0,135,242,1187,4649,14985,0.401001001001001,6.617700599999999,57.45543055999983,2992,15.142528729380459,73425768,220158,9231,360880,2140,6365349,8180.2
AQ-P1-r3-F1-20260904173253,AQ,P1,3,F1,8895,8894,8894,1,0,0,112.42,,0.0,0.0,7,20,1541,2940,14930,0.4042196918955124,7.455489799999998,34.1105045599997,2965,15.005813563424903,98136384,239660,12217,443372,2183,9722943,11032.8
CDC-P1-r3-F1-20260904174341,CDC,P1,3,F1,8980,8980,8980,0,0,0,0.0,334.08,0.0,0.0,3480,6886,7859,8407,14988,0.4008540165465706,6.291344949999999,10.366948369999994,2993,15.147511317244179,35107024,105440,9121,200283,1114,6948429,3909.5
HYBRID-P1-r3-F1-20260904174846,HYBRID,P1,3,F1,8975,8975,8975,0,0,0,0.0,334.26,0.0,0.0,3665,6688,7881,8241,14984,0.4010277629471436,6.922726799999996,34.194411940000016,2991,15.365085043107014,68453640,183834,9128,301047,1329,6208183,7627.1
WRAPPER_B1-P1-r3-F2-20260904175325,WRAPPER_B1,P1,3,F2,26739,26739,26739,0,0,0,0.0,112.2,0.0,0.0,0,1,1,822,26739,0,7.719362399999974,342.0183771399988,8913,45.108050114117404,102055316,313144,26739,595492,1968,173105216,3816.7
WRAPPER_B2-P1-r3-F2-20260904175832,WRAPPER_B2,P1,3,F2,26994,26994,26994,0,0,0,0.0,111.14,0.0,0.0,1,2,6,2934,26994,0,6.350886349999999,83.34494392999905,8998,46.222323646961414,115043352,337246,27050,640499,2462,19678494,4261.8
WRAPPER_B3-P1-r3-F2-20260904180318,WRAPPER_B3,P1,3,F2,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,19789,103087,109737,111537,27003,0,10.370009199999993,44.66758751999999,9001,45.54938631506191,227987552,664677,27336,1106828,3809,20503559,8443.0
AQ-P1-r3-F2-20260904180828,AQ,P1,3,F2,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,20856,103033,109850,111644,27003,0,8.622631199999999,14.536253679999968,9001,46.23686527600024,276386148,684538,31001,1242336,5078,24775063,10235.4
CDC-P1-r3-F2-20260904181321,CDC,P1,3,F2,27000,27000,27000,0,0,0,0.0,111.11,0.0,0.0,3695,7203,8602,9247,27000,0,5.785536449999999,9.321251909999928,9000,45.54839516849248,105263864,315942,27140,600890,2505,19306895,3898.7
HYBRID-P1-r3-F2-20260904181817,HYBRID,P1,3,F2,27003,27003,27003,0,0,0,0.0,111.1,0.0,0.0,3580,7276,8308,9044,27003,0,9.082781999999998,47.50170475999966,9001,46.236504304859395,197012708,545527,27161,874762,3471,19613385,7296.0
AQ-P1-r3-F8-20260904182304,AQ,P1,3,F8,9000,9000,9000,0,0,0,0.0,333.33,0.0,0.0,7,17,1368,2945,15000,0.4,7.643072599999998,16.102972770000086,3000,15.411457972086405,109386436,293658,12212,542055,2190,8816282,12154.0
WRAPPER_B3-P1-r3-F11-20260904182746,WRAPPER_B3,P1,3,F11,86973,27000,27000,59973,0,0,689558.83,,0.0,0.0,147,258,1115,3210,27000,0,7.096574099999995,49.86422070999949,9000,46.23422533998146,401019440,1228466,27759,2216611,5269,19061787,4610.8
AQ-P1-r3-F11-20260904183254,AQ,P1,3,F11,86994,86994,86994,0,0,0,0.0,34.49,0.0,0.0,8602,12331,13350,13807,27000,0,7.3804428,97.39931089999898,9000,45.547801003898954,836302256,2124949,34615,3859835,10232,26446220,9613.3
CDC-P1-r3-F11-20260904183739,CDC,P1,3,F11,86994,86994,86994,0,0,0,0.0,34.49,0.0,0.0,5113,7045,8873,9016,27003,0,5.0352010999999965,10.14568717999996,9001,46.23549936870993,296129944,900443,27148,1764605,3458,18333757,3404.0
HYBRID-P1-r3-F11-20260904184230,HYBRID,P1,3,F11,86988,27000,27000,59988,0,0,689612.36,,0.0,0.0,3799,7492,8720,9464,27000,0,6.896437,53.65575521999967,9000,46.23298647157614,382953368,1145105,27145,2052842,4440,18703266,4402.4
CDC-P1-r3-F4-20260904184743,CDC,P1,3,F4,27000,27000,27000,0,0,0,0.0,111.11,0.0,0.0,6088,80074,87213,88650,27000,0,5.502872899999999,11.987871319999973,9000,46.23395507840125,110754860,319393,27116,616825,2296,21201114,4102.0
HYBRID-P1-r3-F4-20260904185258,HYBRID,P1,3,F4,27000,27000,27000,0,0,0,0.0,111.11,0.0,0.0,5110,76714,83510,85080,27000,0,8.235295099999998,18.51840312999953,9000,46.233041430284615,193882872,548028,27112,865526,3079,20063002,7180.8
CDC-P1-r3-F5-20260909093121,CDC,P1,3,F5,77727,77727,77727,0,0,0,0.0,38.6,0.0,0.0,3783,9133,9417,11620,62727,0,5.6282153,83.62758935999992,20909,49.78217033827131,310501952,902565,63083,1731123,6786,153202142,3994.8
HYBRID-P1-r3-F5-20260909094142,HYBRID,P1,3,F5,77991,63000,63000,14991,0,0,192214.49,,0.0,0.0,3172,5314,5928,7094,63000,0,7.388688099999995,14.292197490000106,21000,49.999833159604336,503575836,1424067,63309,2316598,7971,47419808,6456.8
WRAPPER_B1-P1-r1-F1R-20260909164037,WRAPPER_B1,P1,1,F1R,8931,8930,8930,1,0,0,111.97,,0.0,0.0,0,1,3,1136,14948,0.4025956649719026,11.741551649999987,432.3082383600099,2976,16.53313004205819,34295572,104388,8931,198448,978,13394401,3840.1
