run_id,mode,profile,rep,fault,ground_truth_transitions,delivered_distinct,delivered_total,missing,phantom,malformed,loss_rate_ppm,loss_rate_upper_bound_95_ppm,duplicate_rate,ordering_violation_rate,latency_ms_p50,latency_ms_p95,latency_ms_p99,latency_ms_max,http_reqs,http_req_failed_rate,http_p95_ms,http_p99_ms,lifecycles,achieved_tps,redo_size_delta,redo_entries_delta,user_commits_delta,db_block_changes_delta,cpu_used_delta,log_file_sync_delta_us,redo_bytes_per_transition
CDC-C2N1OFF-r3-20260909145337,CDC,C2N1OFF,3,none,27003,0,0,27003,0,0,1000000.0,,0.0,0.0,,,,,27003,0,11.75297889999982,77.22085591999995,9001,50.002807821261285,1037904620,924665,28231,1895245,4315,57584424,38436.6
CDC-C2N1ON-r3-20260909150443,CDC,C2N1ON,3,none,26835,26835,26835,0,0,0,0.0,111.79,0.0,0.0,3501,5619,6259,8011,26835,0,19.670125099999986,164.71650809999988,8945,49.68932618297863,667942176,671369,27708,1356626,3680,129573736,24890.7
CDC-C2N2OFF-r3-20260909150956,CDC,C2N2OFF,3,none,27003,0,0,27003,0,0,1000000.0,,0.0,0.0,,,,,27003,0,34.587680099999986,193.11474743999955,9001,50.002616277597596,1946144600,1486987,29346,3089493,3635,104482714,72071.4
CDC-C2N2ON-r3-20260909152029,CDC,C2N2ON,3,none,26970,26970,26970,0,0,0,0.0,111.23,0.0,0.0,3913,6024,6484,6898,26970,0,65.88390299999996,370.3401404800003,8990,49.94168690920758,1216807488,1020028,28533,2108668,4300,132405861,45117.1
CDC-C2N3OFF-r3-20260909152605,CDC,C2N3OFF,3,none,26796,0,0,26796,0,0,1000000.0,,0.0,0.0,,,,,26796,0,177.15113325,1148.908961,8932,49.58468985841923,3767443480,2639105,31450,5542968,3997,322801655,140597.2
CDC-C2N3ON-r3-20260909153635,CDC,C2N3ON,3,none,26850,17384,17384,9466,0,0,352551.21,,0.0,0.0,4311,8077,9225,9896,26850,0,161.71971674999995,1061.024337,8950,49.721466596254984,2322822716,1719563,29745,3598505,4534,289943686,86511.1
CDC-C2N4OFF-r3-20260909154146,CDC,C2N4OFF,3,none,26565,0,0,26565,0,0,1000000.0,,0.0,0.0,,,,,26565,0,1768.5207825999998,2611.0124028000027,8855,49.16762660251271,6957404868,4659983,35271,9845184,4957,961643056,261901.2
CDC-C2N4ON-r3-20260909155150,CDC,C2N4ON,3,none,26562,26562,26562,0,0,0,0.0,112.94,0.0,0.0,7369,21468,22449,25523,26562,0,1783.6679223999965,2385.139234509996,8854,49.18868425357812,3979268812,2763532,31587,5827024,7531,1034026245,149810.6
CDC-C2NARROW-r1-20260909155659,CDC,C2NARROW,1,none,26103,9577,9577,16526,0,0,633107.31,,0.0,0.0,5430,8563,9375,12931,26103,0,3061.547286899998,5137.959054759999,8701,47.76856942833717,3801887820,2657635,30876,5591344,5981,1358731893,145649.5
CDC-C2WIDE-r1-20260909160213,CDC,C2WIDE,1,none,22521,12591,12591,9930,0,0,440921.81,,0.0,0.0,12650,25365,25635,27357,22521,0,8246.633177,13086.765239800001,7507,41.22573532443936,2387724380,1714309,25491,3601726,4934,2197105475,106022.1
CDC-C2NARROW-r2-20260909160727,CDC,C2NARROW,2,none,26538,13948,13948,12590,0,0,474414.05,,0.0,0.0,6674,12621,13590,13945,26538,0,1399.0535388499961,2392.917135300002,8846,49.07350823599515,4043205936,2805369,31594,5913497,5817,939827355,152355.3
CDC-C2WIDE-r2-20260909161243,CDC,C2WIDE,2,none,26529,0,0,26529,0,0,1000000.0,,0.0,0.0,,,,,26529,0,1656.2433949999995,2595.686802160004,8843,48.552586845032444,6524306232,4384063,34683,9258808,5247,1022945552,245931.1
CDC-C2NARROW-r3-20260909162329,CDC,C2NARROW,3,none,26508,0,0,26508,0,0,1000000.0,,0.0,0.0,,,,,26508,0,1937.2867651499994,2832.3894053400018,8836,48.93184072623911,6822260748,4571490,35046,9667620,4961,1014387681,257366.1
CDC-C2WIDE-r3-20260909163350,CDC,C2WIDE,3,none,18073,18073,18073,0,0,0,0.0,165.99,0.0,0.0,33000,44211,45274,47536,18084,0.0006082725060827251,17922.281409649964,31780.052476569963,6019,31.889361392039017,1679314804,1223387,20196,2566304,6847,1751889704,92918.4
